measure_name,location_name,age_name,cause_name,metric_name,year,val,upper,lower,UI
Deaths,Global,Age-standardized,Tuberculosis,Rate,2021,13.96,15.72,12.61,"13.96 (12.61,15.72)"
Deaths,Republic of Korea,Age-standardized,Tuberculosis,Rate,2021,2.93,3.49,2.42,"2.93 (2.42,3.49)"
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Tuberculosis,Rate,2021,580.26,649.82,522.37,"580.26 (522.37,649.82)"
DALYs (Disability-Adjusted Life Years),Republic of Korea,Age-standardized,Tuberculosis,Rate,2021,58.02,67.53,50.24,"58.02 (50.24,67.53)"
YLDs (Years Lived with Disability),Global,Age-standardized,Tuberculosis,Rate,2021,54.21,73.64,36.33,"54.21 (36.33,73.64)"
YLDs (Years Lived with Disability),Republic of Korea,Age-standardized,Tuberculosis,Rate,2021,6.49,9.01,4.15,"6.49 (4.15,9.01)"
YLLs (Years of Life Lost),Global,Age-standardized,Tuberculosis,Rate,2021,526.06,593.9,467.43,"526.06 (467.43,593.9)"
YLLs (Years of Life Lost),Republic of Korea,Age-standardized,Tuberculosis,Rate,2021,51.53,60.22,44,"51.53 (44,60.22)"
Prevalence,Global,Age-standardized,Tuberculosis,Rate,2021,23614.01,26020.11,21451.1,"23614.01 (21451.1,26020.11)"
Prevalence,Republic of Korea,Age-standardized,Tuberculosis,Rate,2021,12946.87,14910.27,11309.29,"12946.87 (11309.29,14910.27)"
Incidence,Global,Age-standardized,Tuberculosis,Rate,2021,103,114.91,92.21,"103 (92.21,114.91)"
Incidence,Republic of Korea,Age-standardized,Tuberculosis,Rate,2021,37.77,43.24,32.57,"37.77 (32.57,43.24)"
Deaths,Global,Age-standardized,Tuberculosis,Rate,1990,39.99,44.76,34.16,"39.99 (34.16,44.76)"
Deaths,Republic of Korea,Age-standardized,Tuberculosis,Rate,1990,30.43,36.42,26.29,"30.43 (26.29,36.42)"
DALYs (Disability-Adjusted Life Years),Global,Age-standardized,Tuberculosis,Rate,1990,1650.59,1824.72,1457.64,"1650.59 (1457.64,1824.72)"
DALYs (Disability-Adjusted Life Years),Republic of Korea,Age-standardized,Tuberculosis,Rate,1990,783.08,919.15,690.59,"783.08 (690.59,919.15)"
YLDs (Years Lived with Disability),Global,Age-standardized,Tuberculosis,Rate,1990,94.05,128.14,63.05,"94.05 (63.05,128.14)"
YLDs (Years Lived with Disability),Republic of Korea,Age-standardized,Tuberculosis,Rate,1990,37.53,49.89,25.24,"37.53 (25.24,49.89)"
YLLs (Years of Life Lost),Republic of Korea,Age-standardized,Tuberculosis,Rate,1990,745.55,875.48,651.44,"745.55 (651.44,875.48)"
YLLs (Years of Life Lost),Global,Age-standardized,Tuberculosis,Rate,1990,1556.54,1733.71,1360.55,"1556.54 (1360.55,1733.71)"
Prevalence,Global,Age-standardized,Tuberculosis,Rate,1990,30696.64,33776.96,27716.5,"30696.64 (27716.5,33776.96)"
Prevalence,Republic of Korea,Age-standardized,Tuberculosis,Rate,1990,37845,40174.26,35399.91,"37845 (35399.91,40174.26)"
Incidence,Global,Age-standardized,Tuberculosis,Rate,1990,173.03,198.71,152.88,"173.03 (152.88,198.71)"
Incidence,Republic of Korea,Age-standardized,Tuberculosis,Rate,1990,135.92,148.12,124.09,"135.92 (124.09,148.12)"
Deaths,Global,All ages,Tuberculosis,Number,2021,1162796,1313985,1050008,"1162796 (1050008,1313985)"
Deaths,Republic of Korea,All ages,Tuberculosis,Number,2021,2641,3158,2170,"2641 (2170,3158)"
DALYs (Disability-Adjusted Life Years),Global,All ages,Tuberculosis,Number,2021,46977463,52463556,42482994,"46977463 (42482994,52463556)"
DALYs (Disability-Adjusted Life Years),Republic of Korea,All ages,Tuberculosis,Number,2021,49826,58318,42843,"49826 (42843,58318)"
YLDs (Years Lived with Disability),Global,All ages,Tuberculosis,Number,2021,4385027,5920443,2949783,"4385027 (2949783,5920443)"
YLDs (Years Lived with Disability),Republic of Korea,All ages,Tuberculosis,Number,2021,5181,7123,3341,"5181 (3341,7123)"
YLLs (Years of Life Lost),Global,All ages,Tuberculosis,Number,2021,42592436,48100943,38093888,"42592436 (38093888,48100943)"
YLLs (Years of Life Lost),Republic of Korea,All ages,Tuberculosis,Number,2021,44645,52669,37615,"44645 (37615,52669)"
Prevalence,Global,All ages,Tuberculosis,Number,2021,1911816784,2100447765,1733433144,"1911816784 (1733433144,2100447765)"
Prevalence,Republic of Korea,All ages,Tuberculosis,Number,2021,8201773,9504760,7109959,"8201773 (7109959,9504760)"
Incidence,Global,All ages,Tuberculosis,Number,2021,8407133,9393767,7519793,"8407133 (7519793,9393767)"
Incidence,Republic of Korea,All ages,Tuberculosis,Number,2021,29329,33763,24705,"29329 (24705,33763)"
Deaths,Global,All ages,Tuberculosis,Number,1990,1778869,1980801,1532822,"1778869 (1532822,1980801)"
Deaths,Republic of Korea,All ages,Tuberculosis,Number,1990,8150,9678,7080,"8150 (7080,9678)"
DALYs (Disability-Adjusted Life Years),Global,All ages,Tuberculosis,Number,1990,82679773,91407746,73004989,"82679773 (73004989,91407746)"
YLDs (Years Lived with Disability),Global,All ages,Tuberculosis,Number,1990,4719440,6433748,3143839,"4719440 (3143839,6433748)"
YLLs (Years of Life Lost),Global,All ages,Tuberculosis,Number,1990,77960333,86733963,68340670,"77960333 (68340670,86733963)"
DALYs (Disability-Adjusted Life Years),Republic of Korea,All ages,Tuberculosis,Number,1990,269718,309570,238541,"269718 (238541,309570)"
YLDs (Years Lived with Disability),Republic of Korea,All ages,Tuberculosis,Number,1990,13632,18370,9171,"13632 (9171,18370)"
YLLs (Years of Life Lost),Republic of Korea,All ages,Tuberculosis,Number,1990,256087,294497,225922,"256087 (225922,294497)"
Prevalence,Global,All ages,Tuberculosis,Number,1990,1605364975,1777421464,1440332859,"1605364975 (1440332859,1777421464)"
Prevalence,Republic of Korea,All ages,Tuberculosis,Number,1990,17152811,18252726,15975133,"17152811 (15975133,18252726)"
Incidence,Global,All ages,Tuberculosis,Number,1990,8598520,9854794,7528228,"8598520 (7528228,9854794)"
Incidence,Republic of Korea,All ages,Tuberculosis,Number,1990,51779,56810,47275,"51779 (47275,56810)"
