sex_name,Model,Segment,Segment.Start,Segment.End,P.Value,APC
Both,4,0,1990,1996,0,-11.09 (-11.79 - -10.38)
Both,4,1,1996,2003,0,-7.01 (-7.66 - -6.35)
Both,4,2,2003,2006,1.00E-06,-12.80 (-16.13 - -9.34)
Both,4,3,2006,2019,0,-7.21 (-7.44 - -6.98)
Both,4,4,2019,2021,0.577234,-1.46 (-6.68 - 4.05)
Female,4,0,1990,1997,0,-11.37 (-11.82 - -10.92)
Female,4,1,1997,2003,0,-5.88 (-6.68 - -5.07)
Female,4,2,2003,2006,3.00E-06,-12.64 (-16.31 - -8.82)
Female,4,3,2006,2019,0,-6.79 (-7.07 - -6.51)
Female,4,4,2019,2021,0.445709,-2.05 (-7.37 - 3.57)
Male,4,0,1990,1996,0,-10.73 (-11.54 - -9.91)
Male,4,1,1996,2003,0,-7.23 (-7.87 - -6.58)
Male,4,2,2003,2006,0,-13.20 (-16.38 - -9.89)
Male,4,3,2006,2019,0,-7.64 (-7.87 - -7.40)
Male,4,4,2019,2021,0.628365,-1.36 (-6.97 - 4.58)
