sex_name,Model,Segment,Segment.Start,Segment.End,P.Value,APC
Both,5,0,1980,1992,0,-8.25 (-8.63 - -7.86)
Both,5,1,1992,1996,0,-10.78 (-12.77 - -8.75)
Both,5,2,1996,2002,0,-4.81 (-5.74 - -3.87)
Both,5,3,2002,2007,0,-11.05 (-12.33 - -9.75)
Both,5,4,2007,2019,0,-6.40 (-6.72 - -6.07)
Both,5,5,2019,2021,0.464527,-2.19 (-8.00 - 4.00)
Female,3,0,1980,1996,0,-9.90 (-10.12 - -9.68)
Female,3,1,1996,2002,0,-3.94 (-5.09 - -2.77)
Female,3,2,2002,2007,0,-10.92 (-12.69 - -9.11)
Female,3,3,2007,2021,0,-5.89 (-6.21 - -5.56)
Male,5,0,1980,1993,0,-7.13 (-7.56 - -6.70)
Male,5,1,1993,1996,1.50E-05,-12.00 (-16.23 - -7.55)
Male,5,2,1996,2002,0,-5.19 (-6.08 - -4.30)
Male,5,3,2002,2007,0,-11.45 (-12.60 - -10.28)
Male,5,4,2007,2019,0,-7.00 (-7.29 - -6.71)
Male,5,5,2019,2021,0.58909,-1.53 (-7.08 - 4.35)
