sex_name,Model,Segment,Segment.Start,Segment.End,P.Value,APC
Both,5,0,1990,1995,0,-7.04 (-7.28 - -6.79)
Both,5,1,1995,1998,1.00E-06,-4.81 (-6.02 - -3.57)
Both,5,2,1998,2004,0,-3.82 (-4.13 - -3.51)
Both,5,3,2004,2011,0,-1.29 (-1.57 - -1.01)
Both,5,4,2011,2015,0,-4.84 (-5.65 - -4.03)
Both,5,5,2015,2021,0,-3.75 (-4.04 - -3.46)
Female,5,0,1990,1995,0,-7.45 (-7.65 - -7.25)
Female,5,1,1995,1999,0,-5.21 (-5.71 - -4.70)
Female,5,2,1999,2004,0,-2.28 (-2.65 - -1.91)
Female,5,3,2004,2011,0.000355,-0.53 (-0.78 - -0.29)
Female,5,4,2011,2015,0,-4.94 (-5.63 - -4.26)
Female,5,5,2015,2021,0,-3.98 (-4.21 - -3.74)
Male,4,0,1990,1995,0,-6.97 (-7.29 - -6.65)
Male,4,1,1995,2005,0,-4.54 (-4.70 - -4.39)
Male,4,2,2005,2011,0,-1.87 (-2.33 - -1.41)
Male,4,3,2011,2015,0,-5.00 (-6.00 - -3.99)
Male,4,4,2015,2021,0,-3.67 (-4.02 - -3.32)
