sex_name,Model,Segment,Segment.Start,Segment.End,P.Value,APC
Both,5,0,1990,1993,0.261103,-0.18 (-0.52 - 0.15)
Both,5,1,1993,1996,0.017149,-0.76 (-1.35 - -0.15)
Both,5,2,1996,2006,0,-1.86 (-1.91 - -1.80)
Both,5,3,2006,2014,0,-2.58 (-2.66 - -2.51)
Both,5,4,2014,2017,1.00E-05,-1.74 (-2.30 - -1.17)
Both,5,5,2017,2021,0,-0.99 (-1.17 - -0.81)
Female,4,0,1990,1995,0.000286,-0.37 (-0.54 - -0.20)
Female,4,1,1995,2006,0,-1.89 (-1.95 - -1.84)
Female,4,2,2006,2015,0,-2.66 (-2.73 - -2.59)
Female,4,3,2015,2018,5.90E-05,-1.67 (-2.34 - -1.00)
Female,4,4,2018,2021,2.00E-05,-0.94 (-1.28 - -0.59)
Male,4,0,1990,1995,0.002112,-0.23 (-0.36 - -0.09)
Male,4,1,1995,2005,0,-1.74 (-1.79 - -1.70)
Male,4,2,2005,2014,0,-2.51 (-2.56 - -2.45)
Male,4,3,2014,2017,9.00E-06,-1.52 (-2.04 - -1.00)
Male,4,4,2017,2021,0,-0.96 (-1.12 - -0.79)
