"sex_name","year","val","SE"
"Both",1990,30696.6443448102,1546.03600269081
"Both",1991,30748.7684201296,1492.33350784798
"Both",1992,30767.112150064,1455.36605220449
"Both",1993,30745.5036041369,1441.17650264034
"Both",1994,30676.3862078595,1417.7853141498
"Both",1995,30549.175057014,1404.48043136588
"Both",1996,30348.8428193794,1384.95270430535
"Both",1997,30080.0526508299,1373.2365371325
"Both",1998,29778.0038720799,1359.92939172625
"Both",1999,29480.0157798756,1347.48628757233
"Both",2000,29219.3373015709,1335.37824422738
"Both",2001,28925.4177861042,1312.57430613669
"Both",2002,28540.8179490044,1292.05188597049
"Both",2003,28125.8416292192,1274.05531134452
"Both",2004,27738.0724636665,1255.65992862269
"Both",2005,27433.1310228262,1240.16122306077
"Both",2006,27169.4794150739,1233.00788094297
"Both",2007,26875.4138637954,1226.3207671343
"Both",2008,26570.3293189766,1219.56464188354
"Both",2009,26273.7390684697,1212.72960430077
"Both",2010,26003.8256680128,1205.39073335819
"Both",2011,25715.0026076428,1190.16357464324
"Both",2012,25372.2377479032,1177.86069559925
"Both",2013,25016.9210935854,1166.81219255462
"Both",2014,24687.3412256873,1156.38060445319
"Both",2015,24419.2398480973,1145.99130646798
"Both",2016,24287.7410220443,1147.00348598834
"Both",2017,24265.8580848158,1160.41690922862
"Both",2018,24246.3424020276,1178.74852945349
"Both",2019,24125.3289377694,1181.08321735285
"Both",2020,23877.2358460064,1188.21630180394
"Both",2021,23614.0097596508,1165.5639716706
"Female",1990,30032.310200113,1528.77250268102
"Female",1991,30036.6471577849,1462.4270714814
"Female",1992,30012.6569243663,1428.97638001018
"Female",1993,29956.7012109915,1415.35797344378
"Female",1994,29864.0969133694,1391.60958329413
"Female",1995,29727.2519096757,1380.33037645159
"Female",1996,29528.2707279606,1364.01359626527
"Female",1997,29267.1140140529,1336.56292309217
"Female",1998,28976.2490334643,1315.87451017281
"Female",1999,28689.8086617545,1304.15127152353
"Female",2000,28438.4699919397,1296.16098048684
"Female",2001,28146.3174105639,1279.80660683772
"Female",2002,27756.1133817351,1263.64194560697
"Female",2003,27332.6096432273,1243.29032304185
"Female",2004,26938.402336068,1214.1480026762
"Female",2005,26634.6371006513,1189.78847352924
"Female",2006,26381.4980229403,1189.82407624536
"Female",2007,26103.0516957188,1191.50879514033
"Female",2008,25814.3361277529,1194.26954803275
"Female",2009,25530.4208860787,1192.61849777435
"Female",2010,25265.960409292,1184.17524098578
"Female",2011,24975.1089100362,1174.93614853346
"Female",2012,24627.1556457938,1165.48705599895
"Female",2013,24265.1980648861,1150.75994564662
"Female",2014,23928.9709145397,1131.06614188515
"Female",2015,23656.0790802904,1114.30262469286
"Female",2016,23518.3438990685,1117.99478877188
"Female",2017,23487.4195009386,1135.47379182774
"Female",2018,23459.7659708907,1154.6010783173
"Female",2019,23335.9555975999,1158.60902830245
"Female",2020,23095.1708017527,1172.42025469331
"Female",2021,22847.8713886099,1140.8889600327
"Male",1990,31390.5615863409,1568.62589489658
"Male",1991,31490.5579667065,1525.55066031535
"Male",1992,31551.1651372948,1487.93538272969
"Male",1993,31563.7789686469,1468.67766227368
"Male",1994,31518.0306212504,1441.18524420142
"Male",1995,31400.2986827182,1426.59032325826
"Male",1996,31198.2796533874,1420.52038357578
"Male",1997,30921.3520151728,1408.43505007321
"Male",1998,30607.4730788977,1394.61352225345
"Male",1999,30297.2671559009,1377.9898229789
"Male",2000,30026.6842508989,1362.78105528602
"Male",2001,29730.44360321,1337.53121747373
"Male",2002,29350.8168188878,1318.01649420102
"Male",2003,28943.700932543,1297.65601172396
"Male",2004,28561.6768895354,1281.45063260508
"Male",2005,28254.8954212738,1267.73761941276
"Male",2006,27980.2041746937,1261.41554289156
"Male",2007,27670.0794960886,1252.40013800382
"Male",2008,27348.0812645611,1244.99342676147
"Male",2009,27038.1577679706,1235.64371390825
"Male",2010,26762.1030943574,1221.9221149871
"Male",2011,26474.5591545008,1212.02996837342
"Male",2012,26135.9716551822,1199.97727256675
"Male",2013,25786.1418883223,1190.11877526473
"Male",2014,25462.0571642499,1182.31647096487
"Male",2015,25197.5326529157,1176.04999625335
"Male",2016,25070.5852675969,1184.35801384777
"Male",2017,25055.4749513284,1194.03593713521
"Male",2018,25041.7761261676,1208.59653635598
"Male",2019,24921.772766852,1210.4326563296
"Male",2020,24665.6433546907,1200.56359515285
"Male",2021,24386.2905566682,1187.70363433809
