"","sex_name","year","val","SE"
"183390","Both",1990,135.92337522725,6.13037190465816
"183396","Both",1991,125.9507264448,5.66342324015816
"183402","Both",1992,116.96416562365,5.33400346308419
"183408","Both",1993,108.62684769174,5.06260577064286
"183414","Both",1994,100.93691014759,4.89916955239796
"183420","Both",1995,94.61186571659,4.94537202109439
"183426","Both",1996,89.65035711611,4.57146404246939
"183432","Both",1997,85.2229278112,4.35289511254337
"183438","Both",1998,81.27877268697,4.34318800678571
"183444","Both",1999,77.9712706054,4.24872004131633
"183450","Both",2000,75.0889468847,4.24894149472704
"183456","Both",2001,72.23268449832,4.13791357559949
"183462","Both",2002,69.52338717332,4.01321163849234
"183468","Both",2003,66.80807794846,3.98440495660204
"183474","Both",2004,64.63238695431,3.90000704176021
"183480","Both",2005,63.1554559852,4.02682670421174
"183486","Both",2006,62.316131286,3.96477037413775
"183492","Both",2007,61.66498509975,4.07097497405612
"183498","Both",2008,61.03194463249,4.06367081582143
"183504","Both",2009,60.38344303273,4.09489544329081
"183510","Both",2010,59.68966825326,4.08727038011735
"183516","Both",2011,58.30370230615,3.98110595033163
"183522","Both",2012,56.0384587682,3.81775732726531
"183528","Both",2013,53.25136442498,3.57867627324745
"183534","Both",2014,50.48868240673,3.38690748172449
"183540","Both",2015,48.19931198814,3.29706587047704
"183546","Both",2016,46.25278188428,3.17806224602041
"183552","Both",2017,44.370515494,3.01181809861224
"183558","Both",2018,42.67986864126,2.92536044544898
"183564","Both",2019,41.3627697114,2.87477452502551
"183570","Both",2020,40.43876630915,2.80873254175
"183576","Both",2021,37.77138003877,2.7219297052449
"183389","Female",1990,100.42866116334,4.80823121702296
"183395","Female",1991,92.60415661428,4.35762915206633
"183401","Female",1992,85.63057325495,4.0383636058801
"183407","Female",1993,79.16069973908,3.748401435875
"183413","Female",1994,73.12750118991,3.72374217055868
"183419","Female",1995,68.36121939463,3.72358342002551
"183425","Female",1996,64.60886346286,3.40478369697194
"183431","Female",1997,60.9866144433,3.23877661984694
"183437","Female",1998,57.7932882982,3.16560705390306
"183443","Female",1999,55.28636649174,3.12180782475
"183449","Female",2000,53.49893698343,3.12277046445663
"183455","Female",2001,52.14820767794,3.03964026946939
"183461","Female",2002,51.04952830241,3.00927859366072
"183467","Female",2003,49.96777482011,3.1677544932551
"183473","Female",2004,49.17755420322,3.29287018159949
"183479","Female",2005,48.58922719422,3.56797492173724
"183485","Female",2006,48.30201628573,3.45001453495663
"183491","Female",2007,48.14944365455,3.46983270153061
"183497","Female",2008,48.00801412893,3.46855907320153
"183503","Female",2009,47.82149960709,3.51078075196938
"183509","Female",2010,47.55489960747,3.66555392741072
"183515","Female",2011,46.62318227032,3.46837420646684
"183521","Female",2012,44.88199808771,3.30683649720408
"183527","Female",2013,42.64082131735,3.10100657645663
"183533","Female",2014,40.38023381728,2.92759335648724
"183539","Female",2015,38.50859704,2.74842180897194
"183545","Female",2016,36.91423766224,2.62386874818622
"183551","Female",2017,35.35873842089,2.50126625657908
"183557","Female",2018,33.92307942422,2.56337629773725
"183563","Female",2019,32.74164827233,2.47730116181123
"183569","Female",2020,31.84595678578,2.38350520610714
"183575","Female",2021,29.81571284729,2.36968672471173
"183388","Male",1990,188.3972206352,9.37091151397704
"183394","Male",1991,175.06481625834,8.37337427139541
"183400","Male",1992,162.9853971431,7.84934001955103
"183406","Male",1993,151.73162634244,7.37320672202807
"183412","Male",1994,141.56308059098,7.19000754531378
"183418","Male",1995,132.18896437906,7.27846622616837
"183424","Male",1996,124.51869966411,6.58989762494643
"183430","Male",1997,118.81674665545,6.30943656228316
"183436","Male",1998,113.65076401112,6.13574993414286
"183442","Male",1999,109.27659517309,6.27818602166582
"183448","Male",2000,104.91590237414,6.42685713221683
"183454","Male",2001,99.76578175431,6.16622949856633
"183460","Male",2002,94.99910393714,5.84919668863265
"183466","Male",2003,90.00264965324,5.62945813060714
"183472","Male",2004,85.74793512758,5.5258187783699
"183478","Male",2005,82.80630593945,5.38685091198214
"183484","Male",2006,80.91990422922,5.32999245284949
"183490","Male",2007,79.41934237075,5.16640930801531
"183496","Male",2008,77.99602792953,5.21737449710969
"183502","Male",2009,76.62002320604,5.2329881962551
"183508","Male",2010,75.266171186,5.34841096283673
"183514","Male",2011,73.17083644031,5.10602420779847
"183520","Male",2012,70.10042197633,4.76252227861224
"183526","Male",2013,66.52093427648,4.58014340107398
"183532","Male",2014,63.04648230651,4.32854813045918
"183538","Male",2015,60.16342420823,4.17678442582398
"183544","Male",2016,57.71483391775,3.94891854764796
"183550","Male",2017,55.34600429719,3.83677749623469
"183556","Male",2018,53.2859922116,3.79635073395663
"183562","Male",2019,51.7145293582,3.78366977885204
"183568","Male",2020,50.66840337457,3.46801299932398
"183574","Male",2021,47.28263141823,3.38061443342602
