"sex_name"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
"Both"	5	0	1990	1995	-7.0378	-7.2819	-6.7930	1	-59.1518	0.000000
"Both"	5	1	1995	1998	-4.8058	-6.0242	-3.5715	1	-8.1489	0.000001
"Both"	5	2	1998	2004	-3.8220	-4.1311	-3.5119	1	-25.8020	0.000000
"Both"	5	3	2004	2011	-1.2909	-1.5685	-1.0125	1	-9.8342	0.000000
"Both"	5	4	2011	2015	-4.8407	-5.6491	-4.0252	1	-12.3947	0.000000
"Both"	5	5	2015	2021	-3.7523	-4.0388	-3.4649	1	-27.3398	0.000000
"Female"	5	0	1990	1995	-7.4538	-7.6531	-7.2542	1	-76.6045	0.000000
"Female"	5	1	1995	1999	-5.2064	-5.7070	-4.7032	1	-21.5251	0.000000
"Female"	5	2	1999	2004	-2.2824	-2.6507	-1.9126	1	-13.0301	0.000000
"Female"	5	3	2004	2011	-0.5321	-0.7783	-0.2853	1	-4.5892	0.000355
"Female"	5	4	2011	2015	-4.9440	-5.6261	-4.2570	1	-15.0065	0.000000
"Female"	5	5	2015	2021	-3.9766	-4.2147	-3.7379	1	-34.8317	0.000000
"Male"	4	0	1990	1995	-6.9668	-7.2869	-6.6456	1	-44.0228	0.000000
"Male"	4	1	1995	2005	-4.5433	-4.7001	-4.3862	1	-59.4273	0.000000
"Male"	4	2	2005	2011	-1.8687	-2.3295	-1.4056	1	-8.4181	0.000000
"Male"	4	3	2011	2015	-5.0033	-6.0013	-3.9947	1	-10.2103	0.000000
"Male"	4	4	2015	2021	-3.6744	-4.0248	-3.3226	1	-21.5797	0.000000
