"","measure_name","location_name","sex_name","age_name","cause_name","metric_name","year","val","upper","lower","Num_1990"
"37","Deaths","Global","Male","All ages","Rheumatic heart disease","Number",1990,152103,184940,125111,"152103 (125111-184940)"
"38","Deaths","Global","Female","All ages","Rheumatic heart disease","Number",1990,210057,238266,185677,"210057 (185677-238266)"
"39","Deaths","Global","Both","All ages","Rheumatic heart disease","Number",1990,362160,408222,326259,"362160 (326259-408222)"
"190","Deaths","China","Male","All ages","Rheumatic heart disease","Number",1990,47227,56674,38065,"47227 (38065-56674)"
"191","Deaths","China","Female","All ages","Rheumatic heart disease","Number",1990,85439,104610,70151,"85439 (70151-104610)"
"192","Deaths","China","Both","All ages","Rheumatic heart disease","Number",1990,132665,155349,114115,"132665 (114115-155349)"
"1618","Deaths","China","Male","All ages","Rheumatic heart disease","Number",2019,30848,39014,24022,"30848 (24022-39014)"
"1619","Deaths","China","Female","All ages","Rheumatic heart disease","Number",2019,38933,48230,30329,"38933 (30329-48230)"
"1620","Deaths","China","Both","All ages","Rheumatic heart disease","Number",2019,69782,81361,57365,"69782 (57365-81361)"
"2995","Deaths","Global","Male","All ages","Rheumatic heart disease","Number",2019,131717,159904,113445,"131717 (113445-159904)"
"2996","Deaths","Global","Female","All ages","Rheumatic heart disease","Number",2019,173933,208089,140652,"173933 (140652-208089)"
"2997","Deaths","Global","Both","All ages","Rheumatic heart disease","Number",2019,305651,340486,259220,"305651 (259220-340486)"
"3097","DALYs (Disability-Adjusted Life Years)","Global","Male","All ages","Rheumatic heart disease","Number",1990,5747632,6847812,4827059,"5747632 (4827059-6847812)"
"3098","DALYs (Disability-Adjusted Life Years)","Global","Female","All ages","Rheumatic heart disease","Number",1990,7420707,8275336,6565305,"7420707 (6565305-8275336)"
"3099","DALYs (Disability-Adjusted Life Years)","Global","Both","All ages","Rheumatic heart disease","Number",1990,13168339,14634663,11896460,"13168339 (11896460-14634663)"
"3760","DALYs (Disability-Adjusted Life Years)","China","Male","All ages","Rheumatic heart disease","Number",1990,1489476,1771843,1215395,"1489476 (1215395-1771843)"
"3761","DALYs (Disability-Adjusted Life Years)","China","Female","All ages","Rheumatic heart disease","Number",1990,2529715,3063996,2078786,"2529715 (2078786-3063996)"
"3762","DALYs (Disability-Adjusted Life Years)","China","Both","All ages","Rheumatic heart disease","Number",1990,4019191,4669340,3460824,"4019191 (3460824-4669340)"
"4831","DALYs (Disability-Adjusted Life Years)","Global","Male","All ages","Rheumatic heart disease","Number",2019,4833457,5729105,4121949,"4833457 (4121949-5729105)"
"4832","DALYs (Disability-Adjusted Life Years)","Global","Female","All ages","Rheumatic heart disease","Number",2019,5840425,6963022,4813977,"5840425 (4813977-6963022)"
"4833","DALYs (Disability-Adjusted Life Years)","Global","Both","All ages","Rheumatic heart disease","Number",2019,10673882,12121608,9207379,"10673882 (9207379-12121608)"
"4882","DALYs (Disability-Adjusted Life Years)","China","Male","All ages","Rheumatic heart disease","Number",2019,780864,967588,619386,"780864 (619386-967588)"
"4883","DALYs (Disability-Adjusted Life Years)","China","Female","All ages","Rheumatic heart disease","Number",2019,925078,1132229,747052,"925078 (747052-1132229)"
"4884","DALYs (Disability-Adjusted Life Years)","China","Both","All ages","Rheumatic heart disease","Number",2019,1705942,1984609,1424796,"1705942 (1424796-1984609)"
"7201","Incidence","China","Male","All ages","Rheumatic heart disease","Number",1990,184539,231102,140505,"184539 (140505-231102)"
"7202","Incidence","China","Female","All ages","Rheumatic heart disease","Number",1990,184844,230715,141429,"184844 (141429-230715)"
"7203","Incidence","China","Both","All ages","Rheumatic heart disease","Number",1990,369383,460322,282677,"369383 (282677-460322)"
"7375","Incidence","China","Male","All ages","Rheumatic heart disease","Number",2019,132753,163234,105487,"132753 (105487-163234)"
"7376","Incidence","China","Female","All ages","Rheumatic heart disease","Number",2019,134924,163403,110271,"134924 (110271-163403)"
"7377","Incidence","China","Both","All ages","Rheumatic heart disease","Number",2019,267676,327586,215457,"267676 (215457-327586)"
"8731","Incidence","Global","Male","All ages","Rheumatic heart disease","Number",1990,862595,1075583,663211,"862595 (663211-1075583)"
"8732","Incidence","Global","Female","All ages","Rheumatic heart disease","Number",1990,1000723,1235154,778585,"1000723 (778585-1235154)"
"8733","Incidence","Global","Both","All ages","Rheumatic heart disease","Number",1990,1863318,2308707,1438465,"1863318 (1438465-2308707)"
"8905","Incidence","Global","Male","All ages","Rheumatic heart disease","Number",2019,1298673,1617204,995189,"1298673 (995189-1617204)"
"8906","Incidence","Global","Female","All ages","Rheumatic heart disease","Number",2019,1490770,1837879,1159323,"1490770 (1159323-1837879)"
"8907","Incidence","Global","Both","All ages","Rheumatic heart disease","Number",2019,2789443,3454256,2153319,"2789443 (2153319-3454256)"
"11521","Prevalence","China","Male","All ages","Rheumatic heart disease","Number",1990,2686869,3389596,2064818,"2686869 (2064818-3389596)"
"11522","Prevalence","China","Female","All ages","Rheumatic heart disease","Number",1990,2870310,3592255,2232865,"2870310 (2232865-3592255)"
"11523","Prevalence","China","Both","All ages","Rheumatic heart disease","Number",1990,5557179,6980851,4292771,"5557179 (4292771-6980851)"
"11695","Prevalence","China","Male","All ages","Rheumatic heart disease","Number",2019,2727659,3387549,2192132,"2727659 (2192132-3387549)"
"11696","Prevalence","China","Female","All ages","Rheumatic heart disease","Number",2019,3254157,3975365,2650123,"3254157 (2650123-3975365)"
"11697","Prevalence","China","Both","All ages","Rheumatic heart disease","Number",2019,5981816,7347719,4858192,"5981816 (4858192-7347719)"
"15211","Prevalence","Global","Male","All ages","Rheumatic heart disease","Number",1990,10656912,13199602,8363711,"10656912 (8363711-13199602)"
"15212","Prevalence","Global","Female","All ages","Rheumatic heart disease","Number",1990,13099934,16035909,10421455,"13099934 (10421455-16035909)"
"15213","Prevalence","Global","Both","All ages","Rheumatic heart disease","Number",1990,23756847,29295709,18791683,"23756847 (18791683-29295709)"
"15385","Prevalence","Global","Male","All ages","Rheumatic heart disease","Number",2019,17983106,22406039,14198981,"17983106 (14198981-22406039)"
"15386","Prevalence","Global","Female","All ages","Rheumatic heart disease","Number",2019,22519239,27713122,17895086,"22519239 (17895086-27713122)"
"15387","Prevalence","Global","Both","All ages","Rheumatic heart disease","Number",2019,40502345,50062426,32052904,"40502345 (32052904-50062426)"
