"","location_name","year","val","SE"
"3768","China",1990,431.444539029962,32.2004566256566
"4074","China",1991,412.759649948333,27.4461318792666
"3819","China",1992,391.089454855133,25.1413253972485
"3156","China",1993,366.248955502203,21.1945007664385
"3309","China",1994,344.562394576944,19.9462606356332
"3564","China",1995,321.43141389163,18.0830328687513
"4380","China",1996,300.584653502859,15.0029434324691
"4278","China",1997,279.353644689193,13.1618044812791
"3921","China",1998,263.801277423326,12.2562390553061
"3462","China",1999,255.615292122502,11.9085285209043
"4329","China",2000,249.666858207521,12.6164741059324
"4941","China",2001,239.441392373477,12.0167486123339
"4686","China",2002,228.932984745212,12.4430529833163
"3666","China",2003,220.044614164203,11.0771783646439
"5043","China",2004,211.516418781983,10.1041575781309
"4788","China",2005,198.625656073845,10.1289796746888
"5298","China",2006,182.983127787199,8.68019264965306
"3717","China",2007,169.689771851665,8.21123524389566
"5451","China",2008,160.986662282284,7.62500854296913
"5502","China",2009,152.666541883068,7.29033087193648
"5145","China",2010,144.660141063518,7.13571482195587
"4023","China",2011,136.852849085946,7.71222503309031
"5604","China",2012,128.904068265011,6.80716511642296
"5859","China",2013,121.70765192595,6.65555541513903
"5808","China",2014,115.084891102149,6.52844598762883
"4482","China",2015,109.225120655591,6.52734783129301
"5961","China",2016,105.504473453874,7.02940536731378
"5757","China",2017,100.702744795965,6.91476152947755
"6114","China",2018,96.5556090219314,7.6162588342052
"4890","China",2019,93.7334341056537,7.74416154981153
"3105","Global",1990,283.295032738735,15.1336735030434
"3870","Global",1991,277.145946305787,15.0703499990758
"3411","Global",1992,271.322710373857,15.0481604199842
"3258","Global",1993,264.506452870888,13.9090200174025
"3207","Global",1994,257.725317565033,13.2941585503189
"4176","Global",1995,249.064783682999,13.3896191041599
"4227","Global",1996,241.83125773066,12.3418146369436
"4125","Global",1997,236.908919554968,11.5716122554054
"4533","Global",1998,231.20030537938,11.3008705964579
"3360","Global",1999,226.528226005808,11.2005675629446
"4584","Global",2000,220.683905267775,10.9655966709737
"4737","Global",2001,213.254409087294,10.3323990211225
"4635","Global",2002,205.877158454672,10.5626508798906
"3513","Global",2003,198.559249602591,10.0122391510161
"4992","Global",2004,191.661148021934,9.27751072679821
"5094","Global",2005,187.465430345643,9.25406101295714
"5196","Global",2006,181.66294667454,9.40813146531964
"3615","Global",2007,176.431186819766,9.03499067440255
"5349","Global",2008,172.980825282587,8.79487289464005
"5247","Global",2009,167.737890859234,8.68073964329489
"5553","Global",2010,163.953196295876,8.73501073080918
"3972","Global",2011,159.872680428974,8.65724700320383
"5400","Global",2012,154.730036253641,8.5084890203199
"5706","Global",2013,150.669258672397,8.73515443425561
"5655","Global",2014,146.133705856336,8.32357099176378
"4431","Global",2015,143.414471187233,8.46258296690179
"5910","Global",2016,140.456421466813,8.51675758686454
"6012","Global",2017,137.752357711981,8.47775380822194
"6063","Global",2018,135.565020239463,8.88415339554617
"4839","Global",2019,132.882403164091,9.00961973934847
