"","location_name","year","val","SE"
"198","China",1990,18.1098254194461,1.46629848825342
"759","China",1991,17.4072550035969,1.29306986608737
"147","China",1992,16.549512694391,1.20228788095207
"963","China",1993,15.6001353633619,1.02221819829005
"1116","China",1994,14.6405619128165,0.955423087004234
"504","China",1995,13.6508255704718,0.875386011621454
"351","China",1996,12.8522320239472,0.751689009373214
"1269","China",1997,12.000247887946,0.627253826653954
"1422","China",1998,11.3229063426845,0.616806955195
"402","China",1999,11.0686523085285,0.579984050359694
"1728","China",2000,10.922082854457,0.61807044881074
"1830","China",2001,10.558278272066,0.548227472145301
"1917","China",2002,10.1578357525053,0.558129814894839
"453","China",2003,9.80876236580804,0.522682715219258
"1779","China",2004,9.45356975889647,0.474213206801211
"2034","China",2005,8.89479489775566,0.460134851691235
"2136","China",2006,8.14864598694812,0.409390386149334
"657","China",2007,7.52108327447775,0.323547995849003
"2238","China",2008,7.14136571162722,0.315835261386393
"2391","China",2009,6.8003398750784,0.307448171207446
"2187","China",2010,6.47667581210902,0.307370000884735
"810","China",2011,6.14691202748737,0.313899884359883
"2595","China",2012,5.78431361605312,0.279384775393906
"2697","China",2013,5.46379484173323,0.254357164090577
"2799","China",2014,5.15714602894651,0.249489216198342
"1218","China",2015,4.8658137923337,0.248491608355393
"2544","China",2016,4.68356918365744,0.281489498734742
"2748","China",2017,4.42130629318046,0.274651449572219
"2901","China",2018,4.18984979841536,0.339431967176844
"1626","China",2019,4.03631855005684,0.350022599948878
"45","Global",1990,8.9434807771191,0.528684056830048
"96","Global",1991,8.74682850184248,0.496529881262002
"861","Global",1992,8.54636827684792,0.517383625248145
"912","Global",1993,8.32995377428446,0.45432378857427
"300","Global",1994,8.06927524085708,0.434243777953102
"1320","Global",1995,7.77435946864277,0.419276841445817
"1065","Global",1996,7.54692748073427,0.385840940877495
"1014","Global",1997,7.37372591651379,0.347602536355658
"249","Global",1998,7.17026465705088,0.349101884070398
"1371","Global",1999,7.00751949739837,0.345689812867311
"1524","Global",2000,6.83607334640758,0.341515689899362
"1575","Global",2001,6.62022768100381,0.310060344013923
"555","Global",2002,6.41351717708393,0.304174598199472
"1968","Global",2003,6.1920313071924,0.289246642698273
"1677","Global",2004,5.93365987938883,0.273774999014923
"1983","Global",2005,5.7685271467327,0.258252217831584
"606","Global",2006,5.55081728442384,0.260390027432839
"2085","Global",2007,5.36005730644994,0.235987068208781
"2289","Global",2008,5.22981393029387,0.227516629943
"2493","Global",2009,5.03741413897926,0.214605104613296
"708","Global",2010,4.89060779888241,0.215501876122291
"2340","Global",2011,4.75556512426595,0.21448112309989
"2442","Global",2012,4.60026680290805,0.201975361680691
"2646","Global",2013,4.48494986244669,0.196511821735158
"1167","Global",2014,4.34918068503912,0.198284157222969
"2850","Global",2015,4.25071033032126,0.189524189415418
"2952","Global",2016,4.14478530692609,0.194538938879329
"3054","Global",2017,4.03250332730088,0.203357560000482
"1473","Global",2018,3.94360730636864,0.229551223927128
"3003","Global",2019,3.85263951394998,0.254127378732314
