"","location_name","year","val","SE"
"11703","China",1990,446.151185517348,52.1049831617924
"11706","China",1991,437.068501127156,50.5151502302541
"11709","China",1992,427.991777555235,48.8017434943622
"11712","China",1993,419.207215313633,47.6250373309829
"11715","China",1994,410.750478748753,45.9706112837602
"11718","China",1995,402.826673486245,44.93441062815
"11721","China",1996,395.01435898842,43.9331451074084
"11724","China",1997,387.188048761841,43.0181099768638
"11727","China",1998,380.051997458864,42.5606540899577
"11730","China",1999,374.143156194669,42.2129663360077
"11733","China",2000,370.166862037996,41.9151018529538
"11736","China",2001,369.050484504944,41.4635411399191
"11739","China",2002,370.404711391632,41.8264208277166
"11742","China",2003,373.103186191331,42.2331180964612
"11745","China",2004,375.918806007308,42.9134489543434
"11748","China",2005,377.757608582988,43.226883644027
"11751","China",2006,380.234567338094,43.7254699533829
"11754","China",2007,384.55826009531,44.077728156438
"11757","China",2008,389.250335553367,44.4296331895036
"11760","China",2009,392.858014859396,44.4626065105959
"11763","China",2010,394.04706510447,44.6785744341875
"11766","China",2011,393.541439609263,44.4066318481179
"11769","China",2012,392.841214388943,44.2387987497237
"11772","China",2013,392.012704784491,44.1417914593026
"11775","China",2014,391.12579226842,44.3868671041559
"11778","China",2015,390.337858394639,44.5288428525811
"11781","China",2016,390.102741375402,44.1267053522755
"11784","China",2017,390.085867190793,44.5460299167158
"11787","China",2018,390.075014041082,44.0813140888852
"11790","China",2019,390.243620935913,43.7993895363355
"15393","Global",1990,451.562012701044,48.2638022383931
"15396","Global",1991,449.950876826733,48.2024815904388
"15399","Global",1992,448.46929168958,48.0463160524776
"15402","Global",1993,447.200591344847,48.0493170208995
"15405","Global",1994,446.343798952982,48.2246225377128
"15408","Global",1995,445.969426936318,48.371369710698
"15411","Global",1996,445.982282248734,48.4129444445686
"15414","Global",1997,446.308147782532,48.46495119599
"15417","Global",1998,446.936583206594,48.5524572503388
"15420","Global",1999,447.962840246711,48.7760433296128
"15423","Global",2000,449.49950573288,49.2996599178776
"15426","Global",2001,452.032151213326,49.4709716564579
"15429","Global",2002,455.683039360147,49.9867220012888
"15432","Global",2003,459.88661901495,50.833859752611
"15435","Global",2004,464.11682710919,51.507905378362
"15438","Global",2005,467.885489187648,52.1800506441727
"15441","Global",2006,471.391190179261,52.4244988369668
"15444","Global",2007,475.139761592355,52.8279207499906
"15447","Global",2008,478.971288901742,53.3289721973316
"15450","Global",2009,482.783398483776,53.6928983303255
"15453","Global",2010,486.49968225068,54.4571763311107
"15456","Global",2011,490.074009661878,55.5112375014135
"15459","Global",2012,493.585484088165,56.3858863045566
"15462","Global",2013,497.054497117367,56.7227590135969
"15465","Global",2014,500.486175717848,57.1407623832023
"15468","Global",2015,503.91895193339,57.9922260689931
"15471","Global",2016,509.525604258741,58.1976963319477
"15474","Global",2017,514.821311895207,58.8878476071513
"15477","Global",2018,515.727764717501,58.8003160053689
"15480","Global",2019,513.680336532618,58.991140469738
