Year,Value,Type,Gender,Indicator
2022,112.9618455,Forecast,Male,ASIR
2023,110.3468486,Forecast,Male,ASIR
2024,107.8932444,Forecast,Male,ASIR
2025,105.7228399,Forecast,Male,ASIR
2026,103.7680053,Forecast,Male,ASIR
2027,101.9158285,Forecast,Male,ASIR
2028,100.09679,Forecast,Male,ASIR
2029,98.29864097,Forecast,Male,ASIR
2030,96.53978716,Forecast,Male,ASIR
1990,159.8678901,Actual,Female,ASIR
1991,159.5035558,Actual,Female,ASIR
1992,158.8802736,Actual,Female,ASIR
1993,158.0936205,Actual,Female,ASIR
1994,157.2063853,Actual,Female,ASIR
1995,156.2986245,Actual,Female,ASIR
1996,154.6322882,Actual,Female,ASIR
1997,151.8026937,Actual,Female,ASIR
1998,148.4382383,Actual,Female,ASIR
1999,145.1068524,Actual,Female,ASIR
2000,142.3975154,Actual,Female,ASIR
2001,140.0639255,Actual,Female,ASIR
2002,137.4905558,Actual,Female,ASIR
2003,134.8172088,Actual,Female,ASIR
2004,132.1401223,Actual,Female,ASIR
2005,129.7016583,Actual,Female,ASIR
2006,127.0695104,Actual,Female,ASIR
2007,123.8627355,Actual,Female,ASIR
2008,120.4655121,Actual,Female,ASIR
2009,117.1678064,Actual,Female,ASIR
2010,114.3360861,Actual,Female,ASIR
2011,111.5421387,Actual,Female,ASIR
2012,108.3414151,Actual,Female,ASIR
2013,105.1186288,Actual,Female,ASIR
2014,102.2241395,Actual,Female,ASIR
2015,99.97923768,Actual,Female,ASIR
2016,98.1608173,Actual,Female,ASIR
2017,96.3641403,Actual,Female,ASIR
2018,94.85104963,Actual,Female,ASIR
2019,93.87004996,Actual,Female,ASIR
2020,93.5601839,Actual,Female,ASIR
2021,91.95547448,Actual,Female,ASIR
2022,89.13923715,Forecast,Female,ASIR
2023,86.25361642,Forecast,Female,ASIR
2024,84.0383413,Forecast,Female,ASIR
2025,82.37090637,Forecast,Female,ASIR
2026,80.75695675,Forecast,Female,ASIR
2027,78.92225715,Forecast,Female,ASIR
2028,76.94972641,Forecast,Female,ASIR
2029,75.04683881,Forecast,Female,ASIR
2030,73.30962597,Forecast,Female,ASIR
1990,51.78461192,Actual,Male,ASDR
1991,50.7646535,Actual,Male,ASDR
1992,49.6931617,Actual,Male,ASDR
1993,48.68904788,Actual,Male,ASDR
1994,47.8160479,Actual,Male,ASDR
1995,46.96100296,Actual,Male,ASDR
1996,46.20255108,Actual,Male,ASDR
1997,45.6066805,Actual,Male,ASDR
1998,44.92323376,Actual,Male,ASDR
1999,42.97436362,Actual,Male,ASDR
2000,42.1899368,Actual,Male,ASDR
2001,40.93916042,Actual,Male,ASDR
2002,39.59403847,Actual,Male,ASDR
2003,38.4103691,Actual,Male,ASDR
2004,36.62064771,Actual,Male,ASDR
2005,35.51237138,Actual,Male,ASDR
2006,34.11062359,Actual,Male,ASDR
2007,32.66439208,Actual,Male,ASDR
2008,31.49595497,Actual,Male,ASDR
2009,29.77556642,Actual,Male,ASDR
2010,28.29305734,Actual,Male,ASDR
2011,27.05872809,Actual,Male,ASDR
2012,25.71441898,Actual,Male,ASDR
2013,24.8367731,Actual,Male,ASDR
2014,23.77139297,Actual,Male,ASDR
2015,22.50107012,Actual,Male,ASDR
2016,21.64409174,Actual,Male,ASDR
2017,20.90362885,Actual,Male,ASDR
2018,20.16145107,Actual,Male,ASDR
2019,19.34624742,Actual,Male,ASDR
2020,18.69032901,Actual,Male,ASDR
2021,18.19072691,Actual,Male,ASDR
2022,17.39584127,Forecast,Male,ASDR
2023,16.66054268,Forecast,Male,ASDR
2024,15.90116061,Forecast,Male,ASDR
2025,15.06133974,Forecast,Male,ASDR
2026,14.2246986,Forecast,Male,ASDR
2027,13.35879108,Forecast,Male,ASDR
2028,12.46480871,Forecast,Male,ASDR
2029,11.5606336,Forecast,Male,ASDR
2030,10.63831308,Forecast,Male,ASDR
1990,30.48537838,Actual,Female,ASDR
1991,29.73561605,Actual,Female,ASDR
1992,29.29608386,Actual,Female,ASDR
1993,28.32739166,Actual,Female,ASDR
1994,27.53308884,Actual,Female,ASDR
1995,26.98074475,Actual,Female,ASDR
1996,26.49322984,Actual,Female,ASDR
1997,26.06380716,Actual,Female,ASDR
1998,25.66972483,Actual,Female,ASDR
1999,24.77269856,Actual,Female,ASDR
2000,24.1205353,Actual,Female,ASDR
2001,23.41879717,Actual,Female,ASDR
2002,22.73120199,Actual,Female,ASDR
2003,21.80336953,Actual,Female,ASDR
2004,20.60940202,Actual,Female,ASDR
2005,20.04359346,Actual,Female,ASDR
2006,19.25844286,Actual,Female,ASDR
2007,18.22182947,Actual,Female,ASDR
2008,17.33451326,Actual,Female,ASDR
2009,16.33854036,Actual,Female,ASDR
2010,15.59420792,Actual,Female,ASDR
2011,14.95833715,Actual,Female,ASDR
2012,14.40070483,Actual,Female,ASDR
2013,14.00795785,Actual,Female,ASDR
2014,13.43355506,Actual,Female,ASDR
2015,12.99054471,Actual,Female,ASDR
2016,12.46748134,Actual,Female,ASDR
2017,11.9571573,Actual,Female,ASDR
2018,11.51423278,Actual,Female,ASDR
2019,10.99546495,Actual,Female,ASDR
2020,10.56816678,Actual,Female,ASDR
2021,10.22438246,Actual,Female,ASDR
2022,9.705851135,Forecast,Female,ASDR
2023,9.112725232,Forecast,Female,ASDR
2024,8.487757006,Forecast,Female,ASDR
2025,7.84919619,Forecast,Female,ASDR
2026,7.20483308,Forecast,Female,ASDR
2027,6.557993134,Forecast,Female,ASDR
2028,5.910095897,Forecast,Female,ASDR
2029,5.261747332,Forecast,Female,ASDR
2030,4.613206107,Forecast,Female,ASDR
