Year,Value,Type,Gender,Indicator
1990,188.3972206,Actual,Male,ASIR
1991,175.0648163,Actual,Male,ASIR
1992,162.9853971,Actual,Male,ASIR
1993,151.7316263,Actual,Male,ASIR
1994,141.5630806,Actual,Male,ASIR
1995,132.1889644,Actual,Male,ASIR
1996,124.5186997,Actual,Male,ASIR
1997,118.8167467,Actual,Male,ASIR
1998,113.650764,Actual,Male,ASIR
1999,109.2765952,Actual,Male,ASIR
2000,104.9159024,Actual,Male,ASIR
2001,99.76578175,Actual,Male,ASIR
2002,94.99910394,Actual,Male,ASIR
2003,90.00264965,Actual,Male,ASIR
2004,85.74793513,Actual,Male,ASIR
2005,82.80630594,Actual,Male,ASIR
2006,80.91990423,Actual,Male,ASIR
2007,79.41934237,Actual,Male,ASIR
2008,77.99602793,Actual,Male,ASIR
2009,76.62002321,Actual,Male,ASIR
2010,75.26617119,Actual,Male,ASIR
2011,73.17083644,Actual,Male,ASIR
2012,70.10042198,Actual,Male,ASIR
2013,66.52093428,Actual,Male,ASIR
2014,63.04648231,Actual,Male,ASIR
2015,60.16342421,Actual,Male,ASIR
2016,57.71483392,Actual,Male,ASIR
2017,55.3460043,Actual,Male,ASIR
2018,53.28599221,Actual,Male,ASIR
2019,51.71452936,Actual,Male,ASIR
2020,50.66840337,Actual,Male,ASIR
2021,47.28263142,Actual,Male,ASIR
2022,42.38211447,Forecast,Male,ASIR
2023,36.50091393,Forecast,Male,ASIR
2024,29.98479445,Forecast,Male,ASIR
2025,23.05761266,Forecast,Male,ASIR
2026,15.8642989,Forecast,Male,ASIR
2027,8.49868468,Forecast,Male,ASIR
2028,1.021518863,Forecast,Male,ASIR
2029,0,Forecast,Male,ASIR
2030,0,Forecast,Male,ASIR
1990,100.4286612,Actual,Female,ASIR
1991,92.60415661,Actual,Female,ASIR
1992,85.63057325,Actual,Female,ASIR
1993,79.16069974,Actual,Female,ASIR
1994,73.12750119,Actual,Female,ASIR
1995,68.36121939,Actual,Female,ASIR
1996,64.60886346,Actual,Female,ASIR
1997,60.98661444,Actual,Female,ASIR
1998,57.7932883,Actual,Female,ASIR
1999,55.28636649,Actual,Female,ASIR
2000,53.49893698,Actual,Female,ASIR
2001,52.14820768,Actual,Female,ASIR
2002,51.0495283,Actual,Female,ASIR
2003,49.96777482,Actual,Female,ASIR
2004,49.1775542,Actual,Female,ASIR
2005,48.58922719,Actual,Female,ASIR
2006,48.30201629,Actual,Female,ASIR
2007,48.14944365,Actual,Female,ASIR
2008,48.00801413,Actual,Female,ASIR
2009,47.82149961,Actual,Female,ASIR
2010,47.55489961,Actual,Female,ASIR
2011,46.62318227,Actual,Female,ASIR
2012,44.88199809,Actual,Female,ASIR
2013,42.64082132,Actual,Female,ASIR
2014,40.38023382,Actual,Female,ASIR
2015,38.50859704,Actual,Female,ASIR
2016,36.91423766,Actual,Female,ASIR
2017,35.35873842,Actual,Female,ASIR
2018,33.92307942,Actual,Female,ASIR
2019,32.74164827,Actual,Female,ASIR
2020,31.84595679,Actual,Female,ASIR
2021,29.81571285,Actual,Female,ASIR
2022,26.96221319,Forecast,Female,ASIR
2023,23.51134143,Forecast,Female,ASIR
2024,19.62700359,Forecast,Female,ASIR
2025,15.42813343,Forecast,Female,ASIR
2026,11.00103182,Forecast,Female,ASIR
2027,6.408320565,Forecast,Female,ASIR
2028,1.695439371,Forecast,Female,ASIR
2029,0,Forecast,Female,ASIR
2030,0,Forecast,Female,ASIR
1990,55.29953785,Actual,Male,ASDR
1991,50.85727451,Actual,Male,ASDR
1992,46.30017083,Actual,Male,ASDR
1993,42.46622562,Actual,Male,ASDR
1994,39.22549779,Actual,Male,ASDR
1995,33.82722595,Actual,Male,ASDR
1996,29.69296826,Actual,Male,ASDR
1997,27.89517996,Actual,Male,ASDR
1998,26.62381138,Actual,Male,ASDR
1999,26.05287248,Actual,Male,ASDR
2000,24.52341412,Actual,Male,ASDR
2001,22.3885991,Actual,Male,ASDR
2002,21.25506362,Actual,Male,ASDR
2003,19.28468341,Actual,Male,ASDR
2004,17.20865442,Actual,Male,ASDR
2005,15.10975644,Actual,Male,ASDR
2006,13.13506901,Actual,Male,ASDR
2007,11.85267916,Actual,Male,ASDR
2008,10.88673227,Actual,Male,ASDR
2009,9.958025206,Actual,Male,ASDR
2010,9.57139277,Actual,Male,ASDR
2011,8.953702526,Actual,Male,ASDR
2012,8.435995243,Actual,Male,ASDR
2013,7.568478785,Actual,Male,ASDR
2014,6.906785151,Actual,Male,ASDR
2015,6.564354582,Actual,Male,ASDR
2016,6.138743937,Actual,Male,ASDR
2017,5.688028788,Actual,Male,ASDR
2018,5.38387087,Actual,Male,ASDR
2019,4.929040856,Actual,Male,ASDR
2020,4.839995411,Actual,Male,ASDR
2021,4.792501994,Actual,Male,ASDR
2022,4.745008578,Forecast,Male,ASDR
2023,4.697515162,Forecast,Male,ASDR
2024,4.650021746,Forecast,Male,ASDR
2025,4.602528329,Forecast,Male,ASDR
2026,4.555034913,Forecast,Male,ASDR
2027,4.507541497,Forecast,Male,ASDR
2028,4.460048081,Forecast,Male,ASDR
2029,4.412554664,Forecast,Male,ASDR
2030,4.365061248,Forecast,Male,ASDR
1990,16.90478248,Actual,Female,ASDR
1991,15.27345653,Actual,Female,ASDR
1992,13.9202642,Actual,Female,ASDR
1993,12.59867631,Actual,Female,ASDR
1994,11.1705293,Actual,Female,ASDR
1995,9.852049702,Actual,Female,ASDR
1996,8.931068238,Actual,Female,ASDR
1997,8.410111357,Actual,Female,ASDR
1998,8.16374945,Actual,Female,ASDR
1999,8.094115055,Actual,Female,ASDR
2000,7.73699881,Actual,Female,ASDR
2001,7.21999653,Actual,Female,ASDR
2002,6.994496358,Actual,Female,ASDR
2003,6.388016962,Actual,Female,ASDR
2004,5.789261624,Actual,Female,ASDR
2005,5.030835206,Actual,Female,ASDR
2006,4.42077912,Actual,Female,ASDR
2007,3.974011686,Actual,Female,ASDR
2008,3.648696092,Actual,Female,ASDR
2009,3.393250404,Actual,Female,ASDR
2010,3.352955442,Actual,Female,ASDR
